text,label
10새,1
10새기,1
10새리,1
10세리,1
10쉐이,1
10쉑,1
10스,1
10쌔,1
10쌔기,1
10쎄,1
10알,1
10창,1
10탱,1
18,1
18것,1
18넘,1
18년,1
18노,1
18놈,1
18뇬,1
18럼,1
18롬,1
18새,1
18새끼,1
18색,1
18세끼,1
18세리,1
18섹,1
18쉑,1
18스,1
18아,1
X끼,1
fuck,1
g랄,1
jazi,1
shit,1
sibal,1
si발,1
ssiba,1
suck,1
tlqkf,1
wtf,1
z랄,1
ㄱㅐ,1
ㄲㅈ,1
ㄲㅏ,1
ㄲㅑ,1
ㄲㅣ,1
ㅁㅊ,1
ㅂㅅ,1
ㅄ,1
ㅅㅂ,1
ㅅㅂㄹㅁ,1
ㅅㅍ,1
ㅅㅐ,1
ㅆㅂㄹㅁ,1
ㅆㅍ,1
ㅆㅣ,1
ㅆ앙,1
ㅈㄹ,1
ㅍㅏ,1
ㅗ,1
凸,1
간나,1
갈보,1
강간,1
같은년,1
같은뇬,1
개가튼넘,1
개같네,1
개같은,1
개구라,1
개년,1
개놈,1
개뇬,1
개대중,1
개독,1
개돼중,1
개랄,1
개보지,1
개뻥,1
개뿔,1
개새,1
개새기,1
개새끼,1
개새키,1
개색기,1
개색끼,1
개색키,1
개색히,1
개섀끼,1
개세,1
개세끼,1
개세이,1
개소리,1
개쇳기,1
개수작,1
개쉐,1
개쉐리,1
개쉐이,1
개쉑,1
개쉽,1
개스끼,1
개시키,1
개십새기,1
개십새끼,1
개쌔끼,1
개쐑,1
개쑈,1
개씹,1
개아들,1
개자슥,1
개자식,1
개자지,1
개접,1
개좆,1
개좌식,1
개처럼,1
개허접,1
걔새,1
걔수작,1
걔시끼,1
걔시키,1
걔썌,1
거시기,1
걸레,1
게색기,1
게색끼,1
고추,1
고츄,1
곧츄,1
곧휴,1
곶츄,1
곶휴,1
광뇬,1
구녕,1
구라,1
구멍,1
그년,1
그새끼,1
까러,1
깔어,1
꺼져,1
껃여,1
껃져,1
껒여,1
꼬봉,1
꼬우냐,1
꼬추,1
꼬츄,1
꼳츄,1
꼳휴,1
꼴린다,1
꼽냐,1
꼽다,1
꼽사리,1
꽂추,1
꽂츄,1
냄비,1
녜미,1
놈현,1
뇬,1
눈까러,1
눈깔,1
눈깔어,1
뉘미럴,1
늬미,1
늬미럴,1
니귀미,1
니기미,1
니미,1
니미랄,1
니미럴,1
니미씹,1
니아배,1
니아베,1
니아비,1
니어매,1
니어메,1
니어미,1
닝기리,1
닝기미,1
닥쳐,1
닥쵸,1
닭쳐,1
대가리,1
대갈,1
뎡신,1
도라이,1
돈놈,1
돌아이,1
돌은놈,1
되질래,1
뒈져,1
뒈져라,1
뒈진,1
뒈진다,1
뒈질,1
뒤질래,1
등신,1
디져라,1
디진다,1
디질래,1
딩시,1
따식,1
딸딸이,1
때놈,1
또라이,1
똘기,1
똘아이,1
똘추,1
뙈놈,1
뙤놈,1
뙨넘,1
뙨놈,1
뚜쟁,1
띠바,1
띠발,1
띠불,1
띠팔,1
랄지,1
메친넘,1
메친놈,1
미췬,1
미친,1
미친넘,1
미친년,1
미친놈,1
미친새끼,1
미친스까이,1
미틴,1
미틴넘,1
미틴년,1
미틴놈,1
바랄년,1
뱅마,1
뱅신,1
벼엉신,1
병쉰,1
병신,1
병자,1
보지,1
