text,label
뭐로 ㅋㅋㅋ,0
앗슨이 군대에가서,0
손에 익어있는거지,0
내일 열림,0
저는 밥좀 먹을게요,0
때깔이 영롱하군요,0
판매자가 어제 저녁에 지급 해준다고 해놓고선,0
2시간쨰인데,0
하고잇긴,0
겨울님 진짜 시치미 뚝 떼는거봐,0
이미스로 하면,0
키스하자♡,0
아침에 운동하면,0
이야 제레에 백로에 웰트가 있으시네,0
밥좀 먹고올게요,0
두배로 주거나,0
나도 드디어 상아탑 입주민??,0
아 랙 겁나 걸리누..,0
저 방금 무지성잼민이 봄,0
ㅁ 왜받은지모르겠어진짜,0
스데미 솔플 안되는데 ㅋㅋ,0
그걸 안물어봤넹,0
근데 골3 나옴,0
한남 3대장으로 진행시켜.,0
박세비 잘한다,0
자유채팅이 제일 좋을 것 같아요!,0
브라질 배달안해주네;;,0
군사혁명을 일으키라곸ㅋㅋㅋㅋㅋㅋㅋㅋ,0
루나=루나리안  에프=천적 결론 에프: 천룡인..? 루나:레드라인위 루나리안,0
내가 해줄 수 있는 말은 이거밖에 없음,0
ㅓㄱ 구합니디,0
늘 많이 도와 주시는 부분 알고 있습니다.,0
0킬인거는 뭐..,0
용 모양 기술이겠지,0
<   2023/6/8 6월19일에 수련회 간다~~,0
파피루스를 뜻해,0
지방 집값보면 깜짝놀람,0
치명타먄,0
너무 피곤하고,0
랜덤으로 하겠습니노,0
아 미안해ㅐ애,0
심닛ㅁ해,0
종아리가 너무 추운거야 갑자기;;,0
강<<<<조를정말로잘하시네요,0
그 대통령님은,0
나난난,0
더프초딩잼민이가,0
짱쌤 톡디 있는데 한번 내년 스승의날에 연락해볼까,0
싫옼ㅋ,0
나한테 잘하면,0
모드보내놔줘,0
켈보님,0
글쳐 하나위에죠,0
이걸 지금,0
디피조마냥 추적하라,0
제발 한 판만,0
어우 관리자들만 있어..,0
다크총과혼인신고,0
오토브리오 만들어야지 플어에,0
나는 가스라이팅 방식으로 말해야해,0
플럼이한테 미안하다고는 해야지,0
시험 치시는 분들 화이팅,0
뭐 나두고 옴,0
소위분이요,0
치임?,0
스쿼트,0
뻵,0
더 갈굼받아,0
현생운운하는게,0
근데 그중에선,0
저도잘못랄서],0
다른곳은 못 하는게 함정(?),0
순간 이해 못했다가,0
일목요연하게 확인 가능함.,0
연습좀 했으면 좋겠어,0
그래 이거 뭉먕님이 부르셨었는데 어케 몰라요,0
꼴등 아니죠(,0
내일 게임 해용!!!,0
마로 초상 콘서트 다 잘할려면 디바인뎀증 반정돈 필요하긴함,0
최고의 최스봇,0
저포함 4명이씅ㅁ,0
쓸대없는 탱크 같은 아바타 사놔서,0
@everyone 같이 얘기하실 스머분들 구함,0
난또 5위네,0
으악 이게 뭐야,0
그저 나의 심기만 안건들이면,0
학교 친구들하면 100넘을줄 알앗는데,0
공부도 안할거면서 나가네,0
어떻게 보이나여,0
10까지 불려서,0
대기열 봐주실분,0
라.떼는맗아야.,0
학교ㄴ가?ㅋㅋ,0
사죄 했음,0
전에 오늘인가 오신다하시지않으셧나요,0
충분하다 생각해요,0
내부계로 걸을게,0
아직 다음판이,0
니 박용진 알지,0
종이라,0
우리 해군 말한거아님?,0
조아요…,0
아 어케 하냐고 ㅋㅋ,0
오색?,0
충전해주세오,0
art 섭 들낙 그만하세요,0
미국 5백은 찍었다,0
원래 샤코하는사람들은 그런가봐요,0
근데 준은 어제 해결된일이라,0
재획돌리는게,0
설월님인가,0
있는건 무슨,0
사쿠야 웁니다,0
지인계가 첩보질하는게 무섭느냐,0
전 미완성도 없어요ㅋㅋ 다 지워서..,0
저 성능 땜에,0
하루 접속안하면 짤리나요..,0
광주사람 델꼬오면 당일치기가 무슨 연관이에요!,0
딱 봐도 귀여우신 분 같아 보여서!,0
나갈게요 음소거시니 말할게 없네요,0
3호선 탑승 완료,0
야외에서도 되려나,0
기억이안나서못풀어주겠다,0
이이유 노래 모음,0
양식대로 씀,0
몰라요 별명이에요,0
어디서 받아야되나요,0
잘츠부르크랑 라이프치히도,0
비타 오백,0
제가 오늘 고백도 받고,0
클로ㄱ?,0
이제 들어가여!!,0
삼성페이 이기를..(?),0
흰색점,0
다들 고생이네용...,0
나도 리안워,0
자치령 되는거고?,0
조 형,0
내가이김ㅋ,0
철갑 50 깎거나,0
츄즈 원,0
저거말고 제트칼이 더 조음,0
포포집다왔다,0
페이커와 짱친인 요플레씨,0
그냥 맨앞에 3초나와서,0
겜하긴했음,0
1달 15000정도는 좀..,0
방금 너 범성인줄 알았어,0
오뱅수고가많다 두찌,0
아니 론이 두개떠서 개놀랏네,0
벌린듯,0
요루루가 올림,0
첫영성체,0
스태프란 직업없는데,0
